Course,Course Title,9,10,11,12,Comment,,
AHS11,ART APPRECIATION,,,,,,,
AHS21X,AP ART HISTORY 1 OF 2,,,,,,,
ANS11QAS,STUDIO ART MIXED MEDIA,,y,y,y,,,
APS11,PAINTING,,y,y,y,,,
EES11S,SETSS RESOURCE,,,,,,,
EES81QFC,FR COMPOSITION 1,,,,,,,
EES83QEL,EUROPEAN LIT 1,,,,,,,
EES85QAC,ENG5 ACTING,,,y,,,,
EES85QAM,ENG 5 AMERICAN LIT 1,,,y,,,,
EES85QHA,ENG 5 ASIAN AMERICAN LIT,,,y,,,,
EES85QPW,POETRY ENG5,,,y,,,,
EES85QWW,WRITERS WKSP ENG5,,,y,,,,
EES85X1,AP ENG LANG - AMERICAN LITERARY HISTORY,,,,,,,
EES85X3,AP ENG LANG - DEFINING AMERICAN VOICES,,,,,,,
EES85X7,AP ENG LANG - CONTEMPORARIES CLASSICS,,,,,,,
EES85XA,AP ENG LANG - AMER PLACES & PERSPECTIVES,,,,,,,
EES87CEE,EXISTENTIALISM ENG7,,,,y,,,
EES87QAC,ENG7 ACTING,,,,y,,,
EES87QBL,BRITISH LITERATURE 1 ENG7,,,,y,,,
EES87QPW,POETRY ENG7,,,,y,,,
EES87QSF,SCIENCE FICTION ENG7,,,,y,,,
EES87QSL,SHAKESPEAREAN LIT ENG7,,,,y,,,
EES87QWV,WOMEN VOICE LIT ENG7,,,,y,,,
EES87QWW,WRITERS WKSP ENG7,,,,y,,,
EES87X3,AP ENG LIT - GREAT BOOKS,,,,,,,
EES87X5,AP ENG LIT - SOCIETY & SELF,,,,,,,
EES87X7,AP ENG LIT - PSYCHOLOGY & LITERATURE,,,,,,,
EJS11,ADV JOURNALISM,,,,,,,
EQS11QDT,DEBATE TEAM,,,,,,,
FFS61,FRENCH I  1 OF 2,,,,,,,
FFS61QE,FRENCH I  1 OF 2 ENRICHED,,,,,,,
FFS63,FRENCH II  1 OF 2,,,,,,,
FFS65,FRENCH III  1 OF 2,,,,,,,
FFS87QC,FRENCH IV 1 OF 2 FRENCH CULTURE,,,y,y,"new code, annual",,
FFS87X,AP FRENCH IV 1 OF 2,,,,,,,
FGS61,GERMAN I  1 OF 2,,,,,,,
FGS63,GERMAN II  1 OF 2,,,,,,,
FJS61,JAPANESE I 1 OF 2,,,,,,,
FJS63,JAPANESE II 1 OF 2,,,,,,,
FJS63QS,JAPANESE II 1 OF 2 INDEP STUDY,,,,,,,
FJS65,JAPANESE III 1 OF 2,,,,,,,
FJS87X,AP JAPANESE IV 1 OF 2,,,,,,,
FLS61,LATIN I  1 OF 2,,,,,,,
FLS61QE,LATIN I ENRICHED 1 OF 2,,,,,,,
FLS63,LATIN II  1 OF 2,,,,,,,
FLS65,LATIN III  1 OF 2,,,,,,,
FLS87,LATIN IV 1 OF 2,,,,y,,,
FLS87X,AP LATIN IV 1 OF 2,,,,,,,
FMS61,MANDARIN I 1 OF 2,,,,,,,
FMS63,MANDARIN II 1 OF 2,,,,,,,
FMS65,MANDARIN III 1 OF 2,,,,,,,
FMS87QC,MANDARIN IV 1 OF 2 CHINESE CULTURE,,,y,y,"new code, annual",,
FMS87X,AP CHINESE IV 1 OF 2,,,,,,,
FSS61,SPANISH I  1 OF 2,,,,,,,
FSS61QE,SPANISH I  1 OF 2 ENRICHED,,,,,,,
FSS61QS,SPANISH I  1 OF 2 INDEP,,,,,,,
FSS63,SPANISH II  1 OF 2,,,,,,,
FSS63QE,SPANISH II 1 OF 2 ENRICHED,,,,,,,
FSS65,SPANISH III  1 OF 2,,,,,,,
FSS87QT,SPANISH IV 1 OF 2 HISPANIC THEMES,,,y,y,,,
FSS87X,AP SPAN LANG IV 1 OF 2,,,,,,,
FSSA9QSC,SPANISH V SPANISH CINEMA 1 OF 2,,,y,y,,,
FTS87X,AP ITALIAN IV 1 OF 2,,,,,,,
HBS21X,AP PSYCHOLOGY 1 OF 2,,,,,,,
HES11,ECONOMICS,,,,,,,
HES21X,AP MACRO ECON,,,,,,,
HGS21XHG,AP HUMAN GEOGRAPHY 9 1 OF 2,y,,,,,,
HGS41,GLOBAL STUDIES 9 1 OF 2,,,,,,,
HGS41QAT,GLOBAL STUDIES 9 ADV TOPICS 1 OF 2,y,,,,,,
HGS41QBH,GLOBAL STUDIES BIG HISTORY 9 1 OF 2,y,,,,,,
HGS43,GLOBAL STUDIES 10 1 OF 2,,,,,,,
HGS43XE,AP EURO HIST 10 1 OF 2,,,,,,,
HGS43XW,AP WORLD HISTORY 10 1 OF 2,,,,,,,
HLS11QCR,CRIMINAL LAW,,,y,y,"new code and title, single term, FALL",,
HLS11QCV,CIVIL LAW,,,,,"new code and title, single term, SPRING",,
HRS11QEJ,JEWISH HISTORY,,y,y,y,,,
HRS11QGP,GEOPOLITICS,,y,y,y,,,
HRS11QMC,MODERN CHINA,,y,y,y,,,
HRS21QPT,WESTERN POLITICAL THEORY 1,,y,y,y,,,
HSS86QJI,SOCIAL SCIENCE REGENERON RESEARCH 6,,,,,SPRING TERM ONLY,,
HSS87QJI,SOCIAL SCIENCE REGENERON RESEARCH 7,,,,,,,
HTS11X,AP COMPARATIVE GOVT&POLITICS,,,,,SPRING only,,
HUS21,US HISTORY 1 OF 2,,,,,,,
HUS21X,AP US HISTORY 1 OF 2,,,,,,,
HVS11,PART IN GOVT,,,,,,,
HVS11X,AP US GOV POL 1 OF 2,,,,,,,
HVS11XG,AP US GOVERNMENT AND POLITICS,,,,,,,
KLS11QCP,CPR AND FIRST AID TRAINING,,y,y,y,,,
MCS21,CALCULUS APPLICATIONS 1,,,y,y,,,
MCS21QCM,COMPLEX CALCULUS 1 OF 2,,,y,y,"new course, annual",,
MCS21X,AP CALC AB 1 OF 2,,,,,,,
MCS43X,AP CALC BC 1 OF 2,,,,,,,
MCS65C,MULTIVARIATE CALCULUS 1 OF 2,,,y,y,,,
MGS21QA,EUCLIDEAN GEOM&ALGEBRA ENHANCED 1 OF 2,,,,,,,
MGS21QE,EUCLIDEAN GEOMETRY ENHANCED 1 OF 2,,,,,,,
MGS21QT,EUCLIDEAN GEOMETRY 1 OF 2,,,,,,,
MKS21,INTRO COMP SCI 1 OF 2,,y,,,students will take TDS11 in the SPRING,,
MKS21QA,ANNUAL INTRO COMP SCI 1 OF 2,,y,,,"annual course, cannot drop spring term",,
MKS21QJI,SOFTWARE DEVELOPMENT 1 OF 2,,,,y,,,
MKS21X,AP COMP SCI  A,,,,,,,
MKS65C,SYSTEM LEVEL PROGRAMMING,,,,y,,,
MPS21,PRE-CALCULUS 1 OF 2,,,,,,,
MPS21H,PRE-CALCULUS HONORS 1 OF 2,,,,,,,
MQS11QFM,MATHEMATICS OF FINANCIAL MARKETS,,,y,y,,,
MQS11QHR,HUMAN REASONING,,,y,y,,,
MQS11QME,MATH EXPLORATIONS,,,y,y,,,
MQS21,ADV ALG WITH PRECALCULUS 1 OF 2,,,,,,,
MQS81QJ,MATH RESEARCH 1,y,,,,,,
MQS81QP1,PROBLEM SOLVING 1 OF 8 LEVEL 1,y,,,,,,
MQS81QP2,PROBLEM SOLVING 1 OF 8 LEVEL 2,y,,,,,,
MQS81QP3,PROBLEM SOLVING 1 OF 8 LEVEL 3,y,,,,,,
MQS83QP2,PROBLEM SOLVING 3 OF 8 LEVEL 2,,,,,,,
MQS83QP3,PROBLEM SOLVING 3 OF 8 LEVEL 3,,,,,,,
MQS83QP4,PROBLEM SOLVING 3 OF 8 LEVEL 4,,,,,,,
MQS85QJI,MATH REGENERON RESEARCH 5,,,,,,,
MQS85QP3,PROBLEM SOLVING 5 OF 8 LEVEL 3,,,,,,,
MQS85QP4,PROBLEM SOLVING 5 OF 8 LEVEL 4,,,,,,,
MQS86QJI,MATH REGENERON RESEARCH 6,,,,,SPRING TERM ONLY,,
MQS87QJI,MATH REGENERON RESEARCH 7,,,,,,,
MQS87QP4,PROBLEM SOLVING 7 OF 8 LEVEL 4,,,,,,,
MRS21,ALGEBRA 2 / TRIG 1 OF 2,,,,,,,
MRS21H,ALGEBRA 2 / TRIG HONORS 1 OF 2,,,,,,,
MSS21X,AP STATS 1 OF 2,,,,,,,
PDS87QD,BALLROOM 12,,,,y,"new code, PES---- is an Elective",,
PFS85QA,AEROBICS 11,,,y,,,,
PFS85QC,INDOOR CYCLING 11 A OR B,,,y,,,,
PFS87QA,AEROBICS 12 A OR B,,,,y,,,
PFS87QC,INDOOR CYCLING 12 A OR B,,,,y,,,
PFS87QP,POLAR BEAR 12 A OR B,,,y,y,,,
PHS11,HEALTH,,,,,,,
PPS81,PHYS ED,,,,,,,
PPS83,PHYS ED,,y,,,,,
PPS85,PHYS ED,,,y,,,,
PPS85QK,ROLLERBLADE 11,,,y,,"new code, PES---- is an Elective",,
PPS87,PHYS ED,,,,y,,,
PPS87QK,ROLLERBLADE 12,,,,y,"new code, PES---- is an Elective",,
PTS85QV,VOLLEYBALL 11 A OR B,,,y,,,,
PTS87QV,VOLLEYBALL 12 A OR B,,,,y,,,
PWS81,SWIM,,,,,,,
PWS83,SWIM GRADE 10,,y,,,,,
PWS83QG,SWIM GR 10 GIRL,,,,,,,
PWS85,SWIMMING 11,,,y,,,,
PWS85QG,LIFEGUARDING 11,,,y,,,,
PWS87,SWIM GR 12,,,,y,,,
PWS87QG,LIFEGUARDING 12,,,,y,,,
SBS11QAS,ANTHROPOLOGY,,,y,y,,,
SBS11QBT,BIO LAB TECHNIQUES,,y,y,y,,,
SBS11QGR,GENETICS RESEARCH,,y,y,y,,,
SBS11QHD,HUMAN DISEASES,,y,y,y,,,
SBS11QMD,HUMAN PATHOPHYSIOLOGY,,,y,y,,,
SBS11QMS,MOLECULAR SCIENCE,,y,,,,,
SBS11QNB,NEUROBIOLOGY,,y,y,y,,,
SBS11QNS,NUTRITIONAL SCIENCE,,,y,y,,,
SBS21QT,TOPICS IN BIOLOGY 1 OF 2,,,,,,,
SBS43X,AP BIOLOGY 3,,,,,,,
SBS85QJI,BIO REGENERON RESEARCH 5,,,,,,,
SBS87QJI,BIO REGENERON RESEARCH 7,,,,,,,
SCS11QCA,ADV CHEM LAB,,,y,y,,,
SCS21H,MODERN CHEMISTRY 1 OF 2,,,,,"No more SCS21 or SCS21HJ, new title",,
SCS21QGC,ORGANIC CHEMISTRY,,,y,y,,,
SCS21QL,CHEMISTRY LAB 1 OF 2,,,,,,,
SCS43X,AP CHEMISTRY 3,,,,,,,
SCS85QJI,CHEM REGENERON RESEARCH 5,,,,,,,
SCS87QJI,CHEM REGENERON RESEARCH 7,,,,,,,
SES11QUE,URBAN ECOLOGY,,y,y,y,,,
SFS11QFS,FORENSIC SCIENCE,,y,y,y,,,
SKS11QE5,ELECTRICAL ENGINEERING,,,y,y,"new course, 5Tech",,
SKS11QM5,MECHANICAL ENGINEERING,,,y,y,"new course, 5Tech",,
SKS21QEA,ANALOG & DIGITAL ELECTRONICS 1 OF 2,,,,y,"new code and title, annual, 10Tech",,
SLS43,MODERN BIOLOGY 3,,,,,,,
SLS43QL,LIVING ENV LAB 3 OF 4,,,,,,,
SLS43QM,MOLECULAR BIOLOGY 1 OF 2,,,,,,,
SPS21H,PHYSICS 1 OF 2,,,,,No more SPS21 or SPS21HJ,,
SPS21QL,PHYSICS  LAB 1 OF 2,,,,,,,
SPS21QMP,MODERN PHYSICS 1 OF 2,,,,y,,,
SPS21X1,AP PHYS 1,,,,,,,
SPS43X,AP PHYS C MECH,,,,,,,
SPS85QJI,PHYSICS REGENERON RESEARCH 5,,,,,,,
SPS87QJI,PHYSICS REGENERON RESEARCH 7,,,,,,,
SQS21X,AP PSYCHOLOGY 1 OF 2,,,,,,,
SRS11QAS,ASTRONOMY,,,y,y,,,
SWS11QOC,OCEANOGRAPHY,,,y,y,,,
SWS21X,AP ENVIR SCI 1 OF 2,,y,y,y,Still recruiting in this round,,
TAS21QPA,PHOTOGRAPHY 1 OF 2,,,,y,,,
TCS11QD5,ADVANCED AUTOCAD,,,y,y,,,
TDS11,TECHNICAL GRAPHIC COMMUNICATIONS,,y,,,,,
TDS11QD5,INTERIOR DESIGN,,,y,y,,,
TDS21QAA,ARCHITECTURE 1 OF 2,,,,y,,,
TMS11QD5,JEWELRY DESIGN,,,y,y,,,
TMS11QW5,PRIN TECH MECHSM,,,y,y,,,
TMS21QCA,CERAMICS 1 OF 2,,,,y,,,
TMS21QWA,WOODWORKING 1 OF 2,,,,y,,,
TQS11QB5,INTRO TO ROBOTICS,,,y,y,"new course, 5Tech",,
TQS11QD5,ENGINEERING DESIGN,,,y,y,"new course, 5Tech",,
TQS11QV5,VIDEO PRODUCTION,,,y,y,,,
TQS21QBA,ROBOTIC ENGINEERING 1 OF 2,,,,y,,,
TQS21QWA,WEB DESIGN ADVANCE,,,y,y,,New Codes,
TQS84QJ,SCIENCE OLYMPIAD GR 10,,,,,"new course, 5Tech or 10Tech, SPRING CODE",SQS84QP5,??
TQS85QJ,SCIENCE OLYMPIAD GR 11,,,y,,"new course, 5Tech or 10Tech, FALL CODE",SQS85QP5,??
TQS86QJ,SCIENCE OLYMPIAD GR 11,,,,,"new course, 5Tech or 10Tech, SPRING CODE",SQS86QP5,??
TQS87QJ,SCIENCE OLYMPIAD GR 12,,,,y,"new course, 5Tech or 10Tech, FALL CODE",SQS87QP5,??
TYS11QT5,COMPUTER TECHNOLOGY,,,y,y,,,
TZS11QG5,GRAPHIC ARTS,,,y,y,,,
TZS21QAA,3D ARTS & TECHNOLOGY 1 OF 2,,,,y,,,
UAS11,MUSIC APPRECIATION,,,,,,,
UCS11,CHAMBER CHOIR,,,,,,,
UDS11Q2,CONCERT BAND,,,,,,,
UDS11Q3,SYMPHONIC BAND,,,,,,,
UDS11Q4,CONCERT BAND,,,,,,,
UDS11Q8,BEGINNING BAND,,,,,,,
UJS11,JAZZ BAND,,,,,,,
UUS21X,AP MUSIC THEORY 1 OF 2,,,,,,,
UVS11,CHORUS,,,,,,,
UYS11,SYMPHONIC ORCHESTRA,,,,,,,
UZS32,INTERMEDIATE STRINGS,,,,,,,
UZS33,ADV STRINGS,,,,,,,
ZLR8,REL LUNCH 8,,,,,,,
ZLUN,LUNCH,,,,,,,
ZQ10TECH,SELECT A 10TECH,,,,,,,
ZQ236,GUIDANCE,,,,,,,
ZQ5TECH,SELECT A 5TECH,,,,,,,
ZQ5TNHT,5TECH FALL & AP COMP GOV SPRING,,,,,,,
ZQ5TTD,5TECH & TECH DRAWING,,,,,,,
ZQAPHEHV,AP MACRO & AP GOVT,,,,,,,
ZQAPHENV,AP MACRO FALL & HVS11 GOVT SPRING,,,,,,,
ZQAPHVHT,AP GOV FALL & AP COMP GOV SPRING,,,,,,,
ZQAPMAMI,AP MACRO & AP MICRO,,,,,,,
ZQBIREPH,BIO REGENERON FALL & HEALTH SP,,,,,,,
ZQCHREPH,CHEM REGENERON FALL & HEALTH SP,,,,,,,
ZQHE11HV,ECONOMICS & GOVERNMENT,,,,,,,
ZQHSTORY,SELECT A SOCIAL STUDIES ELECTIVE,,,,,,,
ZQHTS11,SELECT ELECTIVE FOR FALL&AP COMP GOV SPR,,,,,,,
ZQHVOHE,HVS11 OR HES11 FALL OR SP,,,,,,,
ZQNATH,SELECT A MATH ELECTIVE,,,,,,,
ZQPH5TEC,HEALTH & 5TECH,,,,,,,
ZQPH5TTD,HEALTH&5TECH-OR-HEALTH&TECH DRAWING,,,,,,,
ZQPHMARE,HEALTH FALL & MATH REGENERON SP,,,,,,,
ZQPHREPH,PHYSICS REGENERON FALL & HEALTH SP,,,,,,,
ZQPHSSRE,HEALTH FALL & SS REGENERON SP,,,,,,,
ZQPHTD,HEALTH & TECH DRAWING,,,,,,,
ZQSCI,SELECT A SCIENCE ELECTIVE,,,,,,,
ZQT10,SPORTS TEAM,,,,,,,
ZQTDORMK,SELECT MKS21&TDS11 OR YEARLONG INTRO TO COMP SCI,,,,,,,
ZT10,RESOURCE 10,,,,,,,